file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
love_never_felt_so_good.mp3,5fed86af8cd304e15c606c243d7ceb9f10d8a968919d8ccd5564103f129421bd,"[-128.7303924560547, 90.01972198486328, 4.674388885498047, 16.500892639160156, 6.2611985206604, 2.479527711868286, -3.218968152999878, -0.6310297846794128, -2.540855646133423, 3.2338006496429443, -5.852177143096924, 5.807158470153809, -3.1817712783813477, 2.6444952487945557, 0.14543657004833221, -0.12135589122772217, -2.7241334915161133, 2.4509363174438477, -1.9038900136947632, -0.9724639654159546]","[0.49652767181396484, 0.47691845893859863, 0.4858337640762329, 0.43954533338546753, 0.45010390877723694, 0.503962516784668, 0.4806012213230133, 0.4580366909503937, 0.4518241882324219, 0.5186601877212524, 0.4705369770526886, 0.44048428535461426]","[21.518800017197062, 13.608947571357607, 17.266280009049318, 16.509001334790387, 17.830030355035138, 17.686593708153346, 46.99411760881017]","[-0.00025795157230373985, 0.024509686586844208, 0.007143318425321548, -0.021734875374568936, 0.00031607491275231146, -0.002853196013384354]",2315.710759418945,2476.410472448406,4738.146349077254,0.10940183279315016,0.1871099,117.45383522727273
mirrors.mp3,09a4c922392ee6934bb8d6bdf41f5ad76b347bd4e83b2b74963cd9da655fc0dd,"[-230.6583251953125, 92.2472915649414, -39.50757598876953, 43.338409423828125, -7.009132385253906, 5.725969314575195, -6.428596019744873, 8.479005813598633, -2.216181516647339, 2.792921304702759, -8.018182754516602, -2.3186709880828857, -5.706254005432129, -2.40561842918396, -5.470485210418701, 1.5790300369262695, -3.007540702819824, 1.4079482555389404, -3.0208022594451904, -3.7220704555511475]","[0.26240476965904236, 0.17871955037117004, 0.3466811180114746, 0.3563360571861267, 0.18696102499961853, 0.23967868089675903, 0.1875060349702835, 0.3857719600200653, 0.38014164566993713, 0.3204636573791504, 0.455196738243103, 0.24033065140247345]","[23.482369024869197, 16.278561065273884, 18.467816321740138, 18.283363620540534, 18.46139396358809, 19.99956619195031, 45.821790952306216]","[-0.18301615400573995, 0.11490604640646815, 0.07132977549917979, 0.038282535330827615, -0.018328235330996003, -0.0014487134451125737]",1627.5216465511514,1491.7701626996932,3061.0314903613585,0.08972697066079721,0.06084199,123.046875
cant_stop_the_feeling.mp3,d0899a6db275d2430a0c669d9a9a75003abdba09ef378aa1c4e4b5c81700031a,"[-134.4239501953125, 77.00736236572266, -3.3303611278533936, 4.435339450836182, 0.41460859775543213, 2.6898598670959473, -8.467711448669434, -4.47747278213501, -10.680233001708984, -2.640733480453491, -4.506875991821289, -4.363595008850098, -10.35773754119873, -1.2055606842041016, -5.411162376403809, -5.87262487411499, -8.585628509521484, -3.3334264755249023, -8.596435546875, -4.667665004730225]","[0.49582159519195557, 0.3591786026954651, 0.42566072940826416, 0.3816240131855011, 0.5998293161392212, 0.339930921792984, 0.29665276408195496, 0.550104558467865, 0.35740676522254944, 0.4133162498474121, 0.30971527099609375, 0.3426022529602051]","[20.180219473242353, 16.111742530611668, 18.47175588822252, 17.496496725296275, 18.886952361448255, 16.855541875717513, 46.11766992951572]","[0.15897894970838017, 0.09242067681370594, -0.005663738949311292, 0.12628298403548172, 0.03762299107680882, 0.022282333663793095]",2848.5188954870214,2632.417781382544,5702.598850498259,0.15110528432178794,0.09930337,112.34714673913044
