file,fingerprint,mfcc,chroma,spectral_contrast,tonnetz,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms,tempo
dentro_do_mesmo_time.mp3,60f716dd565376dd6a51f0878d52853c478c2830c3cb153f8c87336b44994796,"[-115.42179107666016, 119.41548919677734, -4.46976900100708, 24.422670364379883, -2.81358003616333, 4.611861705780029, -0.29157552123069763, -9.261774063110352, -12.005236625671387, -2.946746349334717, -13.222269058227539, -5.403414726257324, -12.395344734191895, -5.849294185638428, -3.717712640762329, 0.7399060130119324, -5.333077430725098, -2.190098285675049, -8.1339111328125, -3.624476909637451]","[0.3011728525161743, 0.21626992523670197, 0.5606445074081421, 0.2615088224411011, 0.1590752750635147, 0.16816772520542145, 0.4110504388809204, 0.6768442988395691, 0.363843709230423, 0.426408976316452, 0.31592655181884766, 0.45038601756095886]","[28.9497767294025, 18.69379139168681, 22.32703489501285, 21.183195549851582, 21.819405432216822, 21.886615253230456, 49.98189264088216]","[0.28604383265411015, 0.08365903573662084, 0.2699860125158743, -0.10023346614963363, -0.012500518476865688, -0.05337579967868557]",1627.9298920318972,2051.886290886027,3356.504703675261,0.06660050430534056,0.14284277,117.45383522727273
nos_seus_olhos.mp3,2f0f0277bdd404bf88c97e534f2306932725aa04e2d697248352e2c72b0c2fce,"[-130.89794921875, 108.03710174560547, -10.497538566589355, 21.486495971679688, -3.2791333198547363, 0.20791739225387573, -7.304997444152832, -9.454315185546875, -13.212492942810059, -6.92891788482666, -12.075642585754395, -3.9092037677764893, -11.101269721984863, -6.5432610511779785, -7.612466335296631, -2.5725550651550293, -9.794027328491211, -4.211886882781982, -8.348519325256348, -2.022904634475708]","[0.45179498195648193, 0.2591906487941742, 0.28696298599243164, 0.2506764829158783, 0.49526193737983704, 0.2586118280887604, 0.2047363817691803, 0.39457014203071594, 0.3345984220504761, 0.46093207597732544, 0.23885470628738403, 0.30681943893432617]","[28.558426478211278, 18.296366810511334, 21.49850976142763, 20.457806839858176, 21.280195147307694, 21.572522353651088, 49.88357967222634]","[0.24173571477575923, 0.05797861229734543, -0.0518819898750417, 0.13332609635714335, 0.02125521291935353, 0.03703181693656947]",1866.4436001329648,2172.470702919866,3815.185263430002,0.0790335357004644,0.10381543,112.34714673913044
pra_voce_guardei_o_amor.mp3,c42552e2a0209500b8c3b5078e72853bc1185f5d44049210bed341b767eab272,"[-200.67071533203125, 127.79522705078125, -7.2329020500183105, 16.70878791809082, -3.916846990585327, 2.7875349521636963, -8.699782371520996, -13.705841064453125, -11.276106834411621, -7.698088645935059, -9.961689949035645, -3.1623623371124268, -8.141301155090332, -10.683099746704102, -8.591259956359863, -1.315329909324646, -7.750125408172607, -1.7357007265090942, -2.173027515411377, -1.7984174489974976]","[0.13156962394714355, 0.21036219596862793, 0.23827050626277924, 0.30289018154144287, 0.7921596765518188, 0.2624942660331726, 0.20397529006004333, 0.3336626887321472, 0.292525053024292, 0.36693087220191956, 0.19480165839195251, 0.24760892987251282]","[29.591213320343567, 20.167673589604675, 22.289246767581158, 21.961930844199834, 23.69747956103483, 22.42054968672243, 50.322043377368914]","[0.4037037224857798, -0.07878947922494058, -0.11470012809366177, 0.13910516358849986, 0.07768312500603754, 0.011668519797409108]",1426.499025584648,1826.943923929339,2819.199619352264,0.06072185504547214,0.08877329,143.5546875
sei.mp3,a07f81275d1bc35f31d178eec2c2ff92c99c784269418f00db0c41bdc027fefd,"[-204.8210906982422, 119.6772689819336, -11.645292282104492, 16.656721115112305, -5.306657314300537, -1.5838483572006226, -9.289647102355957, -11.134851455688477, -7.592226028442383, -8.175457954406738, -13.968876838684082, -6.020218372344971, -9.738125801086426, -10.708650588989258, -11.27214527130127, -5.22910737991333, -7.590422630310059, -2.933053970336914, -5.349661350250244, 0.20969854295253754]","[0.2465001344680786, 0.2459128350019455, 0.45011037588119507, 0.2668439447879791, 0.3937302529811859, 0.18628107011318207, 0.3389018476009369, 0.4446171224117279, 0.24263359606266022, 0.27651429176330566, 0.16820666193962097, 0.292818158864975]","[27.005170166032826, 19.147239273159553, 21.447473669761003, 21.397717812794976, 23.67246166956118, 22.67972542803453, 49.39003983922706]","[0.3075568288384015, 0.06168433977016485, 0.0324295714051365, -0.027834026517430405, 0.007046131260324287, 0.0006585705526362277]",1571.9048814595337,1945.3182236400546,3133.5560518152574,0.0686318601248065,0.0800663,135.99917763157896
as_coisas_tao_mais_lindas.mp3,3cb46ad66227f91c861210161c2012140ca94d61bd91e750fd61df5b39a594e1,"[-212.43035888671875, 106.23741912841797, -15.486266136169434, 13.845504760742188, -3.2792983055114746, -0.9708313345909119, -6.342115879058838, -4.322996616363525, -10.023683547973633, -7.014589309692383, -11.394671440124512, -4.34330940246582, -11.84581470489502, -6.224949359893799, -6.053421497344971, -1.3340299129486084, -8.49220085144043, -2.69640851020813, -7.473333358764648, -2.4062111377716064]","[0.46462592482566833, 0.31549251079559326, 0.40302708745002747, 0.2441323846578598, 0.3396162986755371, 0.31483009457588196, 0.3387519419193268, 0.5104976296424866, 0.3389014005661011, 0.3324797451496124, 0.3009833097457886, 0.3941897451877594]","[27.070769538091273, 18.921381766101845, 20.278734454210845, 19.291190673574416, 19.58822203071293, 19.69754342339736, 48.962289927141235]","[0.1593352051850808, 0.1263682711581393, 0.08331080213486108, 0.04948755168794244, 0.00796775357623906, -0.008753625411668568]",1946.784212049218,2092.7086006042787,3806.9269800333786,0.09059242272155572,0.076401226,112.34714673913044
luz_dos_olhos.mp3,f34681092b1157407196845e9f4abb8d72d44a0c743f72265b38cb1f80537459,"[-316.09002685546875, 125.67121887207031, -2.203723669052124, 14.464458465576172, 0.1825665384531021, 5.851548671722412, -5.4578118324279785, -8.447407722473145, -5.555602073669434, -1.4799206256866455, -6.936452388763428, -2.127913475036621, -6.3769612312316895, -5.535185813903809, -4.649879455566406, -2.2942798137664795, -3.5807602405548096, -0.2947782874107361, -3.8332085609436035, -3.7626492977142334]","[0.34051254391670227, 0.27586498856544495, 0.21551582217216492, 0.23770008981227875, 0.48507431149482727, 0.2541716396808624, 0.30747178196907043, 0.4226769506931305, 0.34375637769699097, 0.4432218074798584, 0.26551127433776855, 0.27574411034584045]","[27.614498698646628, 18.636105128678302, 20.63750950218828, 20.044425743985393, 22.01100994019629, 20.54863762761662, 49.199775067608556]","[0.24972829187604223, -0.0343847505281567, -0.09231170812829323, 0.052479205064146744, 0.0278621680912369, 0.09083121647227892]",1380.4756364905472,1883.0537107124992,2695.6503664376937,0.05443617876838235,0.034459475,151.99908088235293
lamento_realengo.mp3,ddeb13e4d6ca989c6424871d89fb6907c4c13a71659f5538b6b06248dd1d51d8,"[-295.1441650390625, 122.97705841064453, 10.367170333862305, 30.273897171020508, 4.457836627960205, 10.01169490814209, 1.3434687852859497, -0.6186764240264893, -2.6102325916290283, -4.283573627471924, -10.908537864685059, -4.962645530700684, -3.771564483642578, -2.074777603149414, -0.9469209313392639, -0.3243044316768646, -8.674102783203125, -3.9463515281677246, -11.263694763183594, -3.020925760269165]","[0.3662612736225128, 0.25685617327690125, 0.24171604216098785, 0.2592439353466034, 0.3465109169483185, 0.29151132702827454, 0.3195430636405945, 0.6134968996047974, 0.4586319923400879, 0.40691232681274414, 0.3099678158760071, 0.32504358887672424]","[27.541489191257366, 16.523464410807627, 19.723331427210038, 18.041517279020912, 19.69261924905744, 20.154209058511892, 49.85215358137773]","[0.17936867431471407, 0.046327627623256755, -0.04254179710274346, 0.10678775758329676, 0.03950417611579348, 0.03749496411318077]",1363.0350001183451,1894.3698965428014,2633.884073263351,0.05694183255127709,0.060230326,107.666015625
n.mp3,7ac795fa2d3f944524f849cf11d7bfb0f756d65de894f39fcccbc2369d5a9301,"[-168.84483337402344, 123.48374938964844, -7.156710147857666, 20.463241577148438, -5.937302112579346, 1.2523901462554932, -3.934995174407959, -9.120984077453613, -10.988604545593262, -4.900712013244629, -10.109431266784668, -5.649061679840088, -12.211455345153809, -6.602317810058594, -8.748845100402832, -6.3662238121032715, -11.335607528686523, -2.8117780685424805, -4.243911266326904, -2.1325998306274414]","[0.34878167510032654, 0.24546438455581665, 0.3888838589191437, 0.19640372693538666, 0.3096948564052582, 0.28920260071754456, 0.19166094064712524, 0.29247191548347473, 0.2727607190608978, 0.5374422669410706, 0.26964253187179565, 0.1953749805688858]","[28.750546841819602, 19.196319956141497, 22.145984792416733, 21.7843572287632, 22.32992071326191, 21.926387722688585, 49.67835863840436]","[0.27082057618704997, 0.16845642105634273, -0.12905869053838195, 0.013775745864478583, -0.003953405436643133, 0.03653733317553565]",1590.148607961591,1955.8094485956865,3207.647270462461,0.06712657822174922,0.10188511,135.99917763157896
os_cegos_do_castelo.mp3,b7e384ef04146ea395b58ee08560400b25092a77e2c945dc0916b4eb06c1402c,"[-144.88893127441406, 124.25080108642578, -16.848724365234375, 21.516347885131836, -2.556865692138672, -2.5695040225982666, -6.7788825035095215, -7.526655197143555, -14.629250526428223, -10.50389289855957, -19.784406661987305, -9.016363143920898, -14.932867050170898, -9.312941551208496, -7.211483001708984, -2.8355088233947754, -13.266849517822266, -4.673234462738037, -8.927502632141113, -2.281980037689209]","[0.5603976249694824, 0.32354363799095154, 0.23843570053577423, 0.22186614573001862, 0.46643516421318054, 0.4417119324207306, 0.2589544653892517, 0.37851083278656006, 0.233110710978508, 0.1836869865655899, 0.14902523159980774, 0.256212443113327]","[29.309686390170594, 18.976261258322634, 20.75459407323072, 20.112943099680997, 20.41455457562163, 21.23721536202848, 50.22711921716547]","[0.10300132939283889, 0.19137749099968052, 0.02785520213612876, 0.20970400143486814, 0.016071905135233724, 0.03527972311874992]",1588.3561900582156,1911.188500840278,3103.8062317083495,0.06570066091815016,0.1237047,143.5546875
por_onde_andei.mp3,287a676e093b9cf7eb47797b373247fc8e0edc19e46b1a34bd1547ef1baab6da,"[-185.3049774169922, 120.14806365966797, -23.0175724029541, 13.475371360778809, -9.140592575073242, -2.94970965385437, -4.47476863861084, -4.929549694061279, -9.711670875549316, -7.9890456199646, -13.124157905578613, -4.686548233032227, -11.59318733215332, -7.698711395263672, -8.2194185256958, -4.701956748962402, -8.899923324584961, -4.967690467834473, -6.570732593536377, 2.3316173553466797]","[0.4923423230648041, 0.35951846837997437, 0.517233669757843, 0.2779909372329712, 0.3022707402706146, 0.33282995223999023, 0.2644490897655487, 0.4491015076637268, 0.2542540431022644, 0.28119632601737976, 0.19249722361564636, 0.3073605000972748]","[28.673815604655243, 19.68687149055492, 19.723330413575844, 18.97806534613417, 19.679535164579974, 20.97626003034346, 49.561124071421084]","[0.20074012238837902, 0.2137414168352901, 0.06912958152280778, 0.04064161475710321, -0.016511531428624986, -0.003582718322953097]",1706.465296579393,1936.9684112554364,3260.5886170000485,0.08020662006578948,0.06872593,151.99908088235293
